City,Country,Region,Latitude,Longitude,Year,Population_Million,SQM_Value,Bortle_Class,Artificial_Sky_Brightness_mcd_m2,Visible_Stars_Count,Milky_Way_Visible,Energy_Waste_GWh,CO2_Emission_LightWaste_tons,Avg_Temp_C,Green_Cover_Pct,Urbanization_Rate_Pct,Night_Sky_Quality_Score,Light_Pollution_Category
New York,USA,North America,40.71,-74.01,2018,8.3,7.8,9,5200,40,No,4820,2650,12.9,21.3,100,2.1,Extreme
New York,USA,North America,40.71,-74.01,2019,8.4,7.6,9,5350,38,No,4910,2700,13.1,21.0,100,2.0,Extreme
New York,USA,North America,40.71,-74.01,2020,8.3,7.9,9,5100,42,No,4620,2540,12.7,21.5,100,2.2,Extreme
New York,USA,North America,40.71,-74.01,2021,8.5,7.5,9,5400,37,No,4980,2740,13.2,21.1,100,1.9,Extreme
New York,USA,North America,40.71,-74.01,2022,8.5,7.4,9,5500,35,No,5050,2780,13.4,20.9,100,1.8,Extreme
New York,USA,North America,40.71,-74.01,2023,8.6,7.3,9,5580,34,No,5100,2810,13.5,20.8,100,1.7,Extreme
Los Angeles,USA,North America,34.05,-118.24,2018,4.0,7.9,9,5100,39,No,3920,2160,18.3,15.2,100,2.0,Extreme
Los Angeles,USA,North America,34.05,-118.24,2019,4.0,7.7,9,5200,37,No,3980,2190,18.5,15.0,100,1.9,Extreme
Los Angeles,USA,North America,34.05,-118.24,2020,3.9,8.0,9,5000,41,No,3750,2065,18.1,15.4,100,2.1,Extreme
Los Angeles,USA,North America,34.05,-118.24,2021,4.0,7.6,9,5250,36,No,4010,2210,18.6,14.9,100,1.8,Extreme
Los Angeles,USA,North America,34.05,-118.24,2022,3.9,7.5,9,5300,35,No,4050,2230,18.7,14.8,100,1.7,Extreme
Los Angeles,USA,North America,34.05,-118.24,2023,3.9,7.4,9,5400,33,No,4100,2260,18.9,14.6,100,1.6,Extreme
London,UK,Europe,51.51,-0.13,2018,9.0,8.3,9,4800,44,No,3640,2000,11.3,33.2,100,2.3,Extreme
