City,Country,Year,Bird_Collision_Deaths_Annual,Sea_Turtle_Disorientation_Pct,Insect_Decline_Pct,Bat_Activity_Reduction_Pct,Migratory_Disruption_Index,Nocturnal_Species_Affected,Coral_Reef_Impact_Score,Wildlife_Impact_Score
New York,USA,2018,92000,0,42,58,8.9,34,0,7.8
New York,USA,2019,94000,0,44,60,9.1,36,0,8.0
New York,USA,2020,88000,0,40,56,8.7,33,0,7.6
New York,USA,2021,96000,0,45,61,9.2,37,0,8.1
New York,USA,2022,98000,0,46,62,9.3,38,0,8.2
New York,USA,2023,100000,0,48,64,9.5,39,0,8.4
Los Angeles,USA,2018,82000,35,41,55,8.5,32,6.2,7.9
Los Angeles,USA,2019,84000,36,42,56,8.6,33,6.4,8.0
Los Angeles,USA,2020,79000,34,39,54,8.3,31,6.0,7.7
Los Angeles,USA,2021,86000,37,43,57,8.8,34,6.5,8.1
Los Angeles,USA,2022,88000,38,44,58,8.9,35,6.7,8.3
Los Angeles,USA,2023,90000,39,46,60,9.0,36,6.9,8.4
London,UK,2018,55000,0,39,54,8.2,29,0,7.5
London,UK,2019,56000,0,40,55,8.3,30,0,7.6
London,UK,2020,52000,0,37,52,7.9,28,0,7.2
London,UK,2021,57000,0,41,56,8.4,31,0,7.7
London,UK,2022,58000,0,42,57,8.5,32,0,7.8
London,UK,2023,60000,0,43,58,8.6,33,0,7.9
Tokyo,Japan,2018,70000,0,44,57,9.0,35,0,8.0
Tokyo,Japan,2019,72000,0,45,58,9.1,36,0,8.1
Tokyo,Japan,2020,67000,0,42,55,8.7,33,0,7.7
Tokyo,Japan,2021,74000,0,46,59,9.2,37,0,8.2
Tokyo,Japan,2022,76000,0,47,60,9.3,38,0,8.3
Tokyo,Japan,2023,78000,0,49,62,9.5,40,0,8.5
Mumbai,India,2018,62000,28,38,50,8.0,30,5.8,7.6
Mumbai,India,2019,64000,29,39,51,8.1,31,5.9,7.7
Mumbai,India,2020,59000,27,36,48,7.7,28,5.6,7.3
Mumbai,India,2021,66000,30,40,52,8.3,32,6.1,7.9
Mumbai,India,2022,68000,31,42,54,8.5,33,6.3,8.0
Mumbai,India,2023,71000,32,43,55,8.6,34,6.5,8.2
Paris,France,2018,48000,0,37,52,7.9,28,0,7.3
Paris,France,2019,49000,0,38,53,8.0,29,0,7.4
Paris,France,2020,46000,0,35,50,7.6,26,0,7.0
Paris,France,2021,50000,0,39,54,8.1,30,0,7.5
Paris,France,2022,51000,0,40,55,8.2,31,0,7.6
Paris,France,2023,52000,0,41,56,8.3,32,0,7.7
Sydney,Australia,2018,42000,45,36,49,7.7,27,7.5,7.8
Sydney,Australia,2019,43000,46,37,50,7.8,28,7.6,7.9
Sydney,Australia,2020,40000,44,34,47,7.4,25,7.3,7.5
Sydney,Australia,2021,44000,47,38,51,7.9,29,7.7,8.0
Sydney,Australia,2022,45000,48,39,52,8.0,30,7.9,8.1
Sydney,Australia,2023,46000,49,40,53,8.1,31,8.0,8.2
Berlin,Germany,2018,38000,0,33,46,7.2,24,0,6.8
Berlin,Germany,2019,39000,0,34,47,7.3,25,0,6.9
Berlin,Germany,2020,36000,0,31,44,6.9,22,0,6.5
Berlin,Germany,2021,40000,0,35,48,7.4,26,0,7.0
Berlin,Germany,2022,41000,0,36,49,7.5,27,0,7.1
Berlin,Germany,2023,42000,0,37,50,7.6,28,0,7.2
Dubai,UAE,2018,85000,62,48,65,9.3,40,8.5,9.1
Dubai,UAE,2019,87000,63,49,66,9.4,41,8.6,9.2
Dubai,UAE,2020,82000,61,46,63,9.0,38,8.3,8.9
Dubai,UAE,2021,89000,64,50,67,9.5,42,8.8,9.3
Dubai,UAE,2022,91000,65,51,68,9.6,43,9.0,9.4
Dubai,UAE,2023,93000,66,53,70,9.8,44,9.1,9.6
Nairobi,Kenya,2018,18000,0,18,25,4.2,15,0,4.1
Nairobi,Kenya,2019,19000,0,19,26,4.4,16,0,4.3
Nairobi,Kenya,2020,17000,0,17,24,4.0,14,0,3.9
Nairobi,Kenya,2021,20000,0,20,27,4.6,17,0,4.5
Nairobi,Kenya,2022,22000,0,22,29,4.9,19,0,4.8
Nairobi,Kenya,2023,24000,0,24,31,5.2,21,0,5.1
Reykjavik,Iceland,2018,4200,0,8,10,1.8,6,0,1.5
Reykjavik,Iceland,2019,4300,0,8,10,1.9,6,0,1.6
Reykjavik,Iceland,2020,4000,0,7,9,1.7,5,0,1.4
Reykjavik,Iceland,2021,4400,0,9,11,2.0,7,0,1.7
Reykjavik,Iceland,2022,4500,0,9,12,2.1,7,0,1.8
Reykjavik,Iceland,2023,4600,0,10,13,2.2,8,0,1.9
Kathmandu,Nepal,2018,12000,0,15,20,3.5,12,0,3.2
Kathmandu,Nepal,2019,12500,0,16,21,3.7,13,0,3.4
Kathmandu,Nepal,2020,11500,0,14,19,3.3,11,0,3.0
Kathmandu,Nepal,2021,13000,0,17,22,3.9,14,0,3.6
Kathmandu,Nepal,2022,13500,0,18,23,4.1,15,0,3.8
Kathmandu,Nepal,2023,14000,0,19,24,4.3,16,0,4.0
Santiago,Chile,2018,32000,18,28,38,6.5,22,3.2,6.0
Santiago,Chile,2019,33000,19,29,39,6.6,23,3.3,6.1
Santiago,Chile,2020,30000,17,26,36,6.2,20,3.0,5.7
Santiago,Chile,2021,34000,20,30,40,6.8,24,3.4,6.3
Santiago,Chile,2022,35000,21,31,41,6.9,25,3.5,6.4
Santiago,Chile,2023,36000,22,32,42,7.1,26,3.7,6.6
Toronto,Canada,2018,44000,0,32,44,7.0,23,0,6.5
Toronto,Canada,2019,45000,0,33,45,7.1,24,0,6.6
Toronto,Canada,2020,42000,0,30,42,6.7,21,0,6.2
Toronto,Canada,2021,46000,0,34,46,7.2,25,0,6.7
Toronto,Canada,2022,47000,0,35,47,7.3,26,0,6.8
Toronto,Canada,2023,48000,0,36,48,7.4,27,0,6.9
Marrakech,Morocco,2018,15000,12,14,19,3.2,11,2.0,3.5
Marrakech,Morocco,2019,15500,13,15,20,3.4,12,2.1,3.7
Marrakech,Morocco,2020,14000,11,13,18,3.0,10,1.9,3.3
Marrakech,Morocco,2021,16000,14,16,21,3.6,13,2.2,3.9
Marrakech,Morocco,2022,17000,15,17,22,3.8,14,2.4,4.1
Marrakech,Morocco,2023,18000,16,18,23,4.0,15,2.5,4.3
